Approved symbol	NCBI Gene ID	Approved name
ABCB4	5244	ATP binding cassette subfamily B member 4
ABCB5	340273	ATP binding cassette subfamily B member 5
ABCB6	10058	ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7	22	ATP binding cassette subfamily B member 7
ABCB8	11194	ATP binding cassette subfamily B member 8
ABCB9	23457	ATP binding cassette subfamily B member 9
ABCB10	23456	ATP binding cassette subfamily B member 10
ABCB10P1	56476	ABCB10 pseudogene 1
ABCB10P3	728248	ABCB10 pseudogene 3
ABCB10P4	100132289	ABCB10 pseudogene 4
ABCB11	8647	ATP binding cassette subfamily B member 11
ABCC1	4363	ATP binding cassette subfamily C member 1
ABCC2	1244	ATP binding cassette subfamily C member 2
ABCC3	8714	ATP binding cassette subfamily C member 3
ABCC4	10257	ATP binding cassette subfamily C member 4
ABCC5	10057	ATP binding cassette subfamily C member 5
ABCC5-AS1		ABCC5 antisense RNA 1
ABCC6	368	ATP binding cassette subfamily C member 6
ABCC6P1	653190	ATP binding cassette subfamily C member 6 pseudogene 1
ABCC6P2	730013	ATP binding cassette subfamily C member 6 pseudogene 2
ABCC8	6833	ATP binding cassette subfamily C member 8
ABCC9	10060	ATP binding cassette subfamily C member 9
ABCC10	89845	ATP binding cassette subfamily C member 10
ABCC11	85320	ATP binding cassette subfamily C member 11
ABCC12	94160	ATP binding cassette subfamily C member 12
ABCC13	150000	ATP binding cassette subfamily C member 13 (pseudogene)
ABCD1	215	ATP binding cassette subfamily D member 1
ABCD1P1	23785	ATP binding cassette subfamily D member 1 pseudogene 1
ABCD1P2	26983	ATP binding cassette subfamily D member 1 pseudogene 2
ABCD1P3	26982	ATP binding cassette subfamily D member 1 pseudogene 3
ABCD1P4	26957	ATP binding cassette subfamily D member 1 pseudogene 4
ABCD1P5	642762	ATP binding cassette subfamily D member 1 pseudogene 5
ABCD2	225	ATP binding cassette subfamily D member 2
ABCD3	5825	ATP binding cassette subfamily D member 3
ABCD4	5826	ATP binding cassette subfamily D member 4
ABCE1	6059	ATP binding cassette subfamily E member 1
ABCF1	23	ATP binding cassette subfamily F member 1
ABCF1-DT	107986587	ABCF1 divergent transcript
ABCF2	10061	ATP binding cassette subfamily F member 2
ABCF2P1	344653	ATP binding cassette subfamily F member 2 pseudogene 1
ABCF2P2	100422059	ATP binding cassette subfamily F member 2 pseudogene 2
ABCF3	55324	ATP binding cassette subfamily F member 3
ABCG1	9619	ATP binding cassette subfamily G member 1
ABCG2	9429	ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4	64137	ATP binding cassette subfamily G member 4
ABCG5	64240	ATP binding cassette subfamily G member 5
ABCG8	64241	ATP binding cassette subfamily G member 8
ABHD1	84696	abhydrolase domain containing 1
ABHD2	11057	abhydrolase domain containing 2
ABHD3	171586	abhydrolase domain containing 3
ABHD4	63874	abhydrolase domain containing 4
ABHD5	51099	abhydrolase domain containing 5
ABHD6	57406	abhydrolase domain containing 6
ABHD8	79575	abhydrolase domain containing 8
ABHD10	55347	abhydrolase domain containing 10
ABHD11	83451	abhydrolase domain containing 11
ABHD11-AS1	171022	ABHD11 antisense RNA 1 (tail to tail)
ABHD12	26090	abhydrolase domain containing 12
ABHD12B	145447	abhydrolase domain containing 12B
ABHD13	84945	abhydrolase domain containing 13
ABHD14A	25864	abhydrolase domain containing 14A
ABHD14A-ACY1	100526760	ABHD14A-ACY1 readthrough
ABHD14B	84836	abhydrolase domain containing 14B
ABHD15	116236	abhydrolase domain containing 15
ABHD15-AS1		ABHD15 antisense RNA 1
ABHD16A	7920	abhydrolase domain containing 16A
ABHD16B	140701	abhydrolase domain containing 16B
ABHD17A	81926	abhydrolase domain containing 17A
ABHD17AP1	728917	abhydrolase domain containing 17A pseudogene 1
ABHD17AP3	648359	abhydrolase domain containing 17A pseudogene 3
ABHD17AP4	729495	abhydrolase domain containing 17A pseudogene P4
ABHD17AP5	91219	abhydrolase domain containing 17A pseudogene 5
ABHD17AP6	644988	abhydrolase domain containing 17A pseudogene 6
ABHD17AP7	100133212	abhydrolase domain containing 17A pseudogene 7
ABHD17AP8	647144	abhydrolase domain containing 17A pseudogene 8
ABHD17AP9	100132251	abhydrolase domain containing 17A pseudogene 9
ABHD17B	51104	abhydrolase domain containing 17B
ABHD17C	58489	abhydrolase domain containing 17C
ABHD18	80167	abhydrolase domain containing 18
ABI1	10006	abl interactor 1
ABI1P1	326268	abl interactor 1 pseudogene 1
ABI2	10152	abl interactor 2
ABI3	51225	ABI family member 3
ABI3BP	25890	ABI family member 3 binding protein
ABITRAM	54942	actin binding transcription modulator
ABITRAMP1	390403	ABITRAM pseudogene 1
ABL1	25	ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	27	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	3983	actin binding LIM protein 1
ABLIM2	84448	actin binding LIM protein family member 2
ABLIM3	22885	actin binding LIM protein family member 3
ABO	28	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABR	29	ABR activator of RhoGEF and GTPase
ABRA	137735	actin binding Rho activating protein
ABRACL	58527	ABRA C-terminal like
ABRAXAS1	84142	abraxas 1, BRCA1 A complex subunit
ABRAXAS2	23172	abraxas 2, BRISC complex subunit
ABT1	29777	activator of basal transcription 1
ABT1P1	100420695	activator of basal transcription 1 pseudogene 1
ABTB1	80325	ankyrin repeat and BTB domain containing 1
ABTB2	25841	ankyrin repeat and BTB domain containing 2
ACAA1	30	acetyl-CoA acyltransferase 1
ACAA2	10449	acetyl-CoA acyltransferase 2
ACACA	31	acetyl-CoA carboxylase alpha
ACACB	32	acetyl-CoA carboxylase beta
ACAD8	27034	acyl-CoA dehydrogenase family member 8
ACAD9	28976	acyl-CoA dehydrogenase family member 9
ACAD10	80724	acyl-CoA dehydrogenase family member 10
ACAD11	84129	acyl-CoA dehydrogenase family member 11
ACADL	33	acyl-CoA dehydrogenase long chain
ACADM	34	acyl-CoA dehydrogenase medium chain
ACADS	35	acyl-CoA dehydrogenase short chain
ACADSB	36	acyl-CoA dehydrogenase short/branched chain
ACADVL	37	acyl-CoA dehydrogenase very long chain
ACAN	176	aggrecan
ACAP1	9744	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP2-IT1		ACAP2 intronic transcript 1
ACAP3	116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	38	acetyl-CoA acetyltransferase 1
ACAT2	39	acetyl-CoA acetyltransferase 2
ACBD3	64746	acyl-CoA binding domain containing 3
ACBD3-AS1	107985353	ACBD3 antisense RNA 1
ACBD4	79777	acyl-CoA binding domain containing 4
ACBD5	91452	acyl-CoA binding domain containing 5
ACBD6	84320	acyl-CoA binding domain containing 6
ACBD7	414149	acyl-CoA binding domain containing 7
ACCS	84680	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL	390110	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACD	65057	ACD shelterin complex subunit and telomerase recruitment factor
ACE	1636	angiotensin I converting enzyme
ACE2	59272	angiotensin I converting enzyme 2
ACE3P	100129123	angiotensin I converting enzyme 3, pseudogene
ACER1	125981	alkaline ceramidase 1
ACER2	340485	alkaline ceramidase 2
ACER3	55331	alkaline ceramidase 3
ACHE	43	acetylcholinesterase (Cartwright blood group)
ACIN1	22985	apoptotic chromatin condensation inducer 1
ACKR1	2532	atypical chemokine receptor 1 (Duffy blood group)
ACKR2	1238	atypical chemokine receptor 2
ACKR3	57007	atypical chemokine receptor 3
ACKR4	51554	atypical chemokine receptor 4
ACKR4P1	285737	ACKR4 pseudogene 1
ACLS	46	acrocallosal syndrome
ACLY	47	ATP citrate lyase
ACMSD	130013	aminocarboxymuconate semialdehyde decarboxylase
ACNATP	347275	acyl-CoA:amino acid N-acyltransferase pseudogene
ACO1	48	aconitase 1
ACO2	50	aconitase 2
ACOD1	730249	aconitate decarboxylase 1
ACOT1	641371	acyl-CoA thioesterase 1
ACOT2	10965	acyl-CoA thioesterase 2
ACOT4	122970	acyl-CoA thioesterase 4
ACOT6	641372	acyl-CoA thioesterase 6
ACOT7	11332	acyl-CoA thioesterase 7
ACOT8	10005	acyl-CoA thioesterase 8
ACOT9	23597	acyl-CoA thioesterase 9
ACOT11	26027	acyl-CoA thioesterase 11
ACOT12	134526	acyl-CoA thioesterase 12
ACOT13	55856	acyl-CoA thioesterase 13
ACOX1	51	acyl-CoA oxidase 1
ACOX2	8309	acyl-CoA oxidase 2
ACOX3	8310	acyl-CoA oxidase 3, pristanoyl
ACOXL	55289	acyl-CoA oxidase like
ACOXL-AS1	400997	ACOXL antisense RNA 1
ACP1	52	acid phosphatase 1
ACP2	53	acid phosphatase 2, lysosomal
ACP4	93650	acid phosphatase 4
ACP5	54	acid phosphatase 5, tartrate resistant
ACP6	51205	acid phosphatase 6, lysophosphatidic
ACP7	390928	acid phosphatase 7, tartrate resistant (putative)
ACPP	55	acid phosphatase, prostate
ACR	49	acrosin
ACRBP	84519	acrosin binding protein
ACRV1	56	acrosomal vesicle protein 1
ACSBG1	23205	acyl-CoA synthetase bubblegum family member 1
ACSBG2	81616	acyl-CoA synthetase bubblegum family member 2
ACSF2	80221	acyl-CoA synthetase family member 2
ACSF3	197322	acyl-CoA synthetase family member 3
ACSL1	2180	acyl-CoA synthetase long chain family member 1
ACSL3	2181	acyl-CoA synthetase long chain family member 3
ACSL4	2182	acyl-CoA synthetase long chain family member 4
ACSL5	51703	acyl-CoA synthetase long chain family member 5
ACSL6	23305	acyl-CoA synthetase long chain family member 6
ACSM1	116285	acyl-CoA synthetase medium chain family member 1
ACSM2A	123876	acyl-CoA synthetase medium chain family member 2A
ACSM2B	348158	acyl-CoA synthetase medium chain family member 2B
ACSM3	6296	acyl-CoA synthetase medium chain family member 3
ACSM4	341392	acyl-CoA synthetase medium chain family member 4
ACSM5	54988	acyl-CoA synthetase medium chain family member 5
ACSM5P1	100421779	acyl-CoA synthetase medium chain family member 5 pseudogene 1
ACSM6	142827	acyl-CoA synthetase medium chain family member 6
ACSS1	84532	acyl-CoA synthetase short chain family member 1
ACSS2	55902	acyl-CoA synthetase short chain family member 2
ACSS3	79611	acyl-CoA synthetase short chain family member 3
ACTA1	58	actin alpha 1, skeletal muscle
ACTA2	59	actin alpha 2, smooth muscle
ACTA2-AS1	100132116	ACTA2 antisense RNA 1
ACTB	60	actin beta
ACTBL2	345651	actin beta like 2
ACTBP1	643309	ACTB pseudogene 1
ACTBP2	62	ACTB pseudogene 2
ACTBP3	63	ACTB pseudogene 3
ACTBP4	64	ACTB pseudogene 4
ACTBP6	66	ACTB pseudogene 6
ACTBP7	67	ACTB pseudogene 7
ACTBP8	68	ACTB pseudogene 8
ACTBP9	69	ACTB pseudogene 9
ACTBP10	446207	ACTB pseudogene 10
ACTBP11	644220	ACTB pseudogene 11
ACTBP12	100462767	ACTB pseudogene 12
ACTBP13	389120	ACTB pseudogene 13
ACTBP14	389976	ACTB pseudogene 14
ACTC1	70	actin alpha cardiac muscle 1
ACTG1	71	actin gamma 1
ACTG1P1	73	actin gamma 1 pseudogene 1
ACTG1P2	74	actin gamma 1 pseudogene 2
ACTG1P3	75	actin gamma 1 pseudogene 3
ACTG1P4	648740	actin gamma 1 pseudogene 4
ACTG1P6	78	actin gamma 1 pseudogene 6
ACTG1P7	79	actin gamma 1 pseudogene 7
ACTG1P8	80	actin gamma 1 pseudogene 8
ACTG1P9	82	actin gamma 1 pseudogene 9
ACTG1P10	83	actin gamma 1 pseudogene 10
ACTG1P11	414754	actin gamma 1 pseudogene 11
ACTG1P12	100418921	actin gamma 1 pseudogene 12
ACTG1P13	100418920	actin gamma 1 pseudogene 13
ACTG1P14	100418910	actin gamma 1 pseudogene 14
ACTG1P15	100418951	actin gamma 1 pseudogene 15
ACTG1P16	100418960	actin gamma 1 pseudogene 16
ACTG1P17	283693	actin gamma 1 pseudogene 17
ACTG1P18	100418924	actin gamma 1 pseudogene 18
ACTG1P19	644160	actin gamma 1 pseudogene 19
ACTG1P20	644961	actin gamma 1 pseudogene 20
ACTG1P21	100131291	actin gamma 1 pseudogene 21
ACTG1P22	100131953	actin gamma 1 pseudogene 22
ACTG1P23	442097	actin gamma 1 pseudogene 23
ACTG1P24	441783	actin gamma 1 pseudogene 24
ACTG2	72	actin gamma 2, smooth muscle
ACTL6A	86	actin like 6A
ACTL6B	51412	actin like 6B
ACTL7A	10881	actin like 7A
ACTL7B	10880	actin like 7B
ACTL8	81569	actin like 8
ACTL9	284382	actin like 9
ACTL10	170487	actin like 10
ACTN1	87	actinin alpha 1
ACTN1-AS1	161159	ACTN1 antisense RNA 1
ACTN2	88	actinin alpha 2
ACTN3	89	actinin alpha 3 (gene/pseudogene)
ACTN4	81	actinin alpha 4
ACTN4P1	344978	actinin alpha 4 pseudogene 1
ACTN4P2	391026	actinin alpha 4 pseudogene 2
ACTP1	106480335	actin family pseudogene 1
ACTR1A	10121	actin related protein 1A
ACTR1B	10120	actin related protein 1B
ACTR2	10097	actin related protein 2
ACTR3	10096	actin related protein 3
ACTR3-AS1	101060091	ACTR3 antisense RNA 1
ACTR3B	57180	actin related protein 3B
ACTR3BP1	643050	ACTR3B pseudogene 1
ACTR3BP2	440888	ACTR3B pseudogene 2
ACTR3BP3	647156	ACTR3B pseudogene 3
ACTR3BP4	777774	ACTR3B pseudogene 4
ACTR3BP5	399746	ACTR3B pseudogene 5
ACTR3BP6	644773	ACTR3B pseudogene 6
ACTR3C	653857	actin related protein 3C
ACTR3P1	100288580	ACTR3 pseudogene 1
ACTR3P2	100129013	ACTR3 pseudogene 2
ACTR3P3	100128020	ACTR3 pseudogene 3
ACTR5	79913	actin related protein 5
ACTR6	64431	actin related protein 6
ACTR6P1	100421495	ACTR6 pseudogene 1
ACTR8	93973	actin related protein 8
ACTR10	55860	actin related protein 10
ACTRT1	139741	actin related protein T1
ACTRT2	140625	actin related protein T2
ACTRT3	84517	actin related protein T3
ACVR1	90	activin A receptor type 1
ACVR1B	91	activin A receptor type 1B
ACVR1C	130399	activin A receptor type 1C
ACVR2A	92	activin A receptor type 2A
ACVR2B	93	activin A receptor type 2B
ACVR2B-AS1	100128640	ACVR2B antisense RNA 1
ACVRL1	94	activin A receptor like type 1
ACY1	95	aminoacylase 1
ACY3	91703	aminoacylase 3
ACYP1	97	acylphosphatase 1
ACYP2	98	acylphosphatase 2
AD5		Alzheimer disease 5
ADA	100	adenosine deaminase
ADA2	51816	adenosine deaminase 2
ADAD1	132612	adenosine deaminase domain containing 1
ADAD1P1	100422386	adenosine deaminase domain containing 1 pseudogene 1
ADAD1P2	100422407	adenosine deaminase domain containing 1 pseudogene 2
ADAD2	161931	adenosine deaminase domain containing 2
ADAL	161823	adenosine deaminase like
ADAM1A	8759	ADAM metallopeptidase domain 1A (pseudogene)
ADAM1B	100420505	ADAM metallopeptidase domain 1B (pseudogene)
ADAM2	2515	ADAM metallopeptidase domain 2
ADAM3A	1587	ADAM metallopeptidase domain 3A (pseudogene)
ADAM3B	1596	ADAM metallopeptidase domain 3B (pseudogene)
ADAM5	255926	ADAM metallopeptidase domain 5 (pseudogene)
ADAM6	8755	ADAM metallopeptidase domain 6 (pseudogene)
ADAM7	8756	ADAM metallopeptidase domain 7
ADAM8	101	ADAM metallopeptidase domain 8
ADAM9	8754	ADAM metallopeptidase domain 9
ADAM10	102	ADAM metallopeptidase domain 10
ADAM11	4185	ADAM metallopeptidase domain 11
ADAM12	8038	ADAM metallopeptidase domain 12
ADAM15	8751	ADAM metallopeptidase domain 15
ADAM17	6868	ADAM metallopeptidase domain 17
ADAM18	8749	ADAM metallopeptidase domain 18
ADAM19	8728	ADAM metallopeptidase domain 19
ADAM20	8748	ADAM metallopeptidase domain 20
ADAM20P1	317760	ADAM metallopeptidase domain 20 pseudogene 1
ADAM20P2	100533671	ADAM metallopeptidase domain 20 pseudogene 2
ADAM20P3	644325	ADAM metallopeptidase domain 20 pseudogene 3
ADAM21	8747	ADAM metallopeptidase domain 21
ADAM21P1	145241	ADAM metallopeptidase domain 21 pseudogene 1
ADAM22	53616	ADAM metallopeptidase domain 22
ADAM23	8745	ADAM metallopeptidase domain 23
ADAM24P	646479	ADAM metallopeptidase domain 24, pseudogene
ADAM28	10863	ADAM metallopeptidase domain 28
ADAM29	11086	ADAM metallopeptidase domain 29
ADAM30	11085	ADAM metallopeptidase domain 30
ADAM32	203102	ADAM metallopeptidase domain 32
ADAM33	80332	ADAM metallopeptidase domain 33
ADAMDEC1	27299	ADAM like decysin 1
ADAMTS1	9510	ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS2	9509	ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS3	9508	ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4	9507	ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5	11096	ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6	11174	ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7	11173	ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS7P1	390660	ADAMTS7 pseudogene 1
ADAMTS7P3	400406	ADAMTS7 pseudogene 3
ADAMTS7P4	642935	ADAMTS7 pseudogene 4
ADAMTS8	11095	ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9	56999	ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTS9-AS1	101929335	ADAMTS9 antisense RNA 1
ADAMTS9-AS2	100507098	ADAMTS9 antisense RNA 2
ADAMTS10	81794	ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12	81792	ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13	11093	ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14	140766	ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15	170689	ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16	170690	ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS17	170691	ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18	170692	ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19	171019	ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS19-AS1		ADAMTS19 antisense RNA 1
ADAMTS20	80070	ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTSL1	92949	ADAMTS like 1
ADAMTSL2	9719	ADAMTS like 2
ADAMTSL3	57188	ADAMTS like 3
ADAMTSL4	54507	ADAMTS like 4
ADAMTSL4-AS1		ADAMTSL4 antisense RNA 1
ADAMTSL5	339366	ADAMTS like 5
ADAP1	11033	ArfGAP with dual PH domains 1
ADAP2	55803	ArfGAP with dual PH domains 2
ADAR	103	adenosine deaminase RNA specific
ADARB1	104	adenosine deaminase RNA specific B1
ADARB2	105	adenosine deaminase RNA specific B2 (inactive)
ADARB2-AS1	642394	ADARB2 antisense RNA 1
ADAT1	23536	adenosine deaminase tRNA specific 1
ADAT2	134637	adenosine deaminase tRNA specific 2
ADAT3	113179	adenosine deaminase tRNA specific 3
ADCK1	57143	aarF domain containing kinase 1
ADCK2	90956	aarF domain containing kinase 2
ADCK5	203054	aarF domain containing kinase 5
ADCP1	106	adenosine deaminase complexing protein 1
ADCY1	107	adenylate cyclase 1
ADCY2	108	adenylate cyclase 2
ADCY3	109	adenylate cyclase 3
ADCY4	196883	adenylate cyclase 4
ADCY5	111	adenylate cyclase 5
ADCY6	112	adenylate cyclase 6
ADCY7	113	adenylate cyclase 7
ADCY8	114	adenylate cyclase 8
ADCY9	115	adenylate cyclase 9
ADCY10	55811	adenylate cyclase 10
ADCY10P1	221442	ADCY10 pseudogene 1
ADCYAP1	116	adenylate cyclase activating polypeptide 1
ADCYAP1R1	117	ADCYAP receptor type I
ADD1	118	adducin 1
ADD2	119	adducin 2
ADD3	120	adducin 3
ADD3-AS1	100505933	ADD3 antisense RNA 1
ADFN	122	albinism-deafness syndrome
ADGB	79747	androglobin
ADGRA1	84435	adhesion G protein-coupled receptor A1
ADGRA1-AS1		adhesion G protein-coupled receptor A1 antisense RNA 1
ADGRA2	25960	adhesion G protein-coupled receptor A2
ADGRA3	166647	adhesion G protein-coupled receptor A3
ADGRB1	575	adhesion G protein-coupled receptor B1
ADGRB2	576	adhesion G protein-coupled receptor B2
ADGRB3	577	adhesion G protein-coupled receptor B3
ADGRD1	283383	adhesion G protein-coupled receptor D1
ADGRD1-AS1	105755954	ADGRD1 antisense RNA 1
ADGRD2	347088	adhesion G protein-coupled receptor D2
ADGRE1	2015	adhesion G protein-coupled receptor E1
ADGRE2	30817	adhesion G protein-coupled receptor E2
ADGRE3	84658	adhesion G protein-coupled receptor E3
ADGRE4P	326342	adhesion G protein-coupled receptor E4, pseudogene
ADGRE5	976	adhesion G protein-coupled receptor E5
ADGRF1	266977	adhesion G protein-coupled receptor F1
ADGRF2	222611	adhesion G protein-coupled receptor F2
ADGRF3	165082	adhesion G protein-coupled receptor F3
ADGRF4	221393	adhesion G protein-coupled receptor F4
ADGRF5	221395	adhesion G protein-coupled receptor F5
ADGRF5P1	389740	adhesion G protein-coupled receptor F5 pseudogene 1
ADGRF5P2	441416	adhesion G protein-coupled receptor F5 pseudogene 2
ADGRG1	9289	adhesion G protein-coupled receptor G1
ADGRG2	10149	adhesion G protein-coupled receptor G2
ADGRG3	222487	adhesion G protein-coupled receptor G3
ADGRG4	139378	adhesion G protein-coupled receptor G4
ADGRG5	221188	adhesion G protein-coupled receptor G5
ADGRG6	57211	adhesion G protein-coupled receptor G6
ADGRG7	84873	adhesion G protein-coupled receptor G7
ADGRL1	22859	adhesion G protein-coupled receptor L1
ADGRL2	23266	adhesion G protein-coupled receptor L2
ADGRL3	23284	adhesion G protein-coupled receptor L3
ADGRL3-AS1	101927186	adhesion G protein-coupled receptor L3 antisense RNA 1
ADGRL4	64123	adhesion G protein-coupled receptor L4
ADGRV1	84059	adhesion G protein-coupled receptor V1
ADH1A	124	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	125	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	126	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	127	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	128	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH5P2	343296	ADH5 pseudogene 2
ADH5P3	100131810	ADH5 pseudogene 3
ADH5P4	642443	ADH5 pseudogene 4
ADH6	130	alcohol dehydrogenase 6 (class V)
ADH7	131	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADHFE1	137872	alcohol dehydrogenase iron containing 1
ADI1	55256	acireductone dioxygenase 1
ADI1P1	100130936	acireductone dioxygenase 1 pseudogene 1
ADI1P2	100288971	acireductone dioxygenase 1 pseudogene 2
ADI1P3	100288129	acireductone dioxygenase 1 pseudogene 3
ADIG	149685	adipogenin
ADIPOQ	9370	adiponectin, C1Q and collagen domain containing
ADIPOQ-AS1	100874095	ADIPOQ antisense RNA 1
ADIPOR1	51094	adiponectin receptor 1
ADIPOR1P1	645220	adiponectin receptor 1 pseudogene 1
ADIPOR1P2	390503	adiponectin receptor 1 pseudogene 2
ADIPOR2	79602	adiponectin receptor 2
ADIRF	10974	adipogenesis regulatory factor
ADIRF-AS1	100133190	ADIRF antisense RNA 1
ADK	132	adenosine kinase
ADM	133	adrenomedullin
ADM2	79924	adrenomedullin 2
ADM5	199800	adrenomedullin 5 (putative)
ADNP	23394	activity dependent neuroprotector homeobox
ADNP-AS1	101927631	ADNP antisense RNA 1
ADNP2	22850	ADNP homeobox 2
ADO	84890	2-aminoethanethiol dioxygenase
ADORA1	134	adenosine A1 receptor
ADORA2A	135	adenosine A2a receptor
ADORA2A-AS1	646023	ADORA2A antisense RNA 1
ADORA2B	136	adenosine A2b receptor
ADORA2BP1	137	adenosine A2b receptor pseudogene 1
ADORA3	140	adenosine A3 receptor
ADPGK	83440	ADP dependent glucokinase
ADPGK-AS1	100287559	ADPGK antisense RNA 1
ADPRH	141	ADP-ribosylarginine hydrolase
ADPRHL1	113622	ADP-ribosylhydrolase like 1
ADPRHL2	54936	ADP-ribosylhydrolase like 2
ADPRM	56985	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
ADRA1A	148	adrenoceptor alpha 1A
ADRA1B	147	adrenoceptor alpha 1B
ADRA1D	146	adrenoceptor alpha 1D
ADRA2A	150	adrenoceptor alpha 2A
ADRA2B	151	adrenoceptor alpha 2B
ADRA2C	152	adrenoceptor alpha 2C
ADRB1	153	adrenoceptor beta 1
ADRB2	154	adrenoceptor beta 2
ADRB3	155	adrenoceptor beta 3
ADRM1	11047	adhesion regulating molecule 1
